ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
148.989016529029 2.26531628109669 6 23.39024 21.9322 20.39293 19.77671 nan nan 000190
148.980840875128 2.25893359262063 3 20.98776 20.49049 20.35457 22.8269 -9999.0 -9999.0 000190
150.11839702225 2.68654848932355 3 20.45699 19.83362 19.45336 20.75272 0.331115 0.078196 000196
150.119136027976 2.69363812070224 3 24.42319 22.78556 21.32713 20.65208 0.850583 0.056613 000196
150.12150996788 2.69319137806381 3 17.47656 16.44577 16.08803 15.86774 0.121829 0.027191 000196
150.121819456868 2.69744359041297 3 24.76947 25.1502 23.37364 21.34385 -9999.0 -9999.0 000196
150.118355872402 2.69925563609028 3 25.55075 22.93471 20.96387 20.64759 0.944468 0.042612 000196
150.117637421643 2.69384856555089 6 25.65458 24.64805 23.74137 21.15638 nan nan 000196
150.116456188179 2.69229169427221 6 24.13448 21.72003 21.2163 20.43397 nan nan 000196
150.11643565058 2.68623918525492 6 25.17863 24.46266 22.77813 23.26983 nan nan 000196
150.115309702731 2.69382664171908 3 22.65662 21.94452 21.57844 20.32286 0.877498 0.154498 000196
150.114339054055 2.69002742438357 6 21.28855 19.59197 18.45779 17.87679 nan nan 000196
150.113907424027 2.70193850781699 3 25.64532 23.44773 21.44598 21.72691 0.687644 0.090176 000196
150.112929689407 2.69808972285511 6 23.79712 21.01298 20.40615 20.00986 nan nan 000196
150.110905417993 2.7011070016951 6 25.7256 24.49596 24.50233 23.27908 nan nan 000196
150.109226752244 2.69530847171586 3 22.84849 22.14429 21.98353 22.18981 0.469632 0.155866 000196
150.107990291708 2.69553708426592 3 21.11177 19.88724 19.43831 18.99096 0.324701 0.07553 000196
150.115951621276 2.69824761544154 3 25.27149 24.67644 21.48059 21.71425 0.279018 0.10484 000196
150.118781771926 2.69053047106948 3 23.79318 22.88026 21.82149 21.42932 0.704589 0.070638 000196
151.223161218725 2.58716510317855 3 23.36594 22.42278 21.26577 20.83368 0.684344 0.066179 000199
151.224036463361 2.590838497087 3 23.03702 22.49508 21.16961 21.61557 0.493597 0.137231 000199
151.226955578632 2.58699210601343 3 26.55395 23.57528 26.5807 24.76982 -9999.0 -9999.0 000199
151.228516415243 2.58412853027964 6 21.55617 20.85786 20.4551 20.48892 nan nan 000199
151.232726664934 2.58858639218298 3 20.12886 19.62148 19.25587 19.00809 0.161988 0.040148 000199
151.234061193042 2.59569021759986 6 25.97397 25.48045 24.6583 23.11643 nan nan 000199
151.227402137543 2.59745862338942 3 22.5607 21.86308 21.38353 21.25856 0.451066 0.168344 000199
151.228241212004 2.59193021633262 3 24.74899 22.02432 20.98373 20.81147 0.485094 0.050286 000199
151.232116065558 2.59631765802689 6 23.79561 21.78966 21.07157 20.9994 nan nan 000199
151.235541909313 2.58386198966348 3 23.10396 21.63002 21.41627 21.74632 0.44363 0.116623 000199
150.543464326015 1.90212770703853 3 19.04753 18.72625 19.15108 27.55201 -9999.0 -9999.0 000202
150.542002555684 1.89747330021059 6 22.14344 21.84466 21.60225 22.5735 -1.0 -1.0 000202
150.534646473709 1.89560819713833 6 23.3281 25.15167 24.49928 23.44036 -1.0 -1.0 000202
150.542464440986 1.89863804426254 6 22.59826 21.83184 21.94698 22.65197 -1.0 -1.0 000202
150.536083564635 1.89718691356421 6 23.12654 21.70836 20.96754 20.40472 -1.0 -1.0 000202
150.803970195068 3.13881773905031 6 23.78502 24.55454 25.22839 21.00318 nan nan 000215
150.80384003721 3.14313997350911 6 23.90036 22.57674 21.93411 21.61002 nan nan 000215
150.804594623604 3.14366776134939 6 21.87917 20.44595 19.43978 18.8138 nan nan 000215
150.811553113883 3.13898158565617 3 19.6423 19.13652 18.82679 18.66114 0.139186 0.029604 000215
150.811971940185 3.14762921497288 3 22.33478 21.49639 20.70427 20.34176 0.636957 0.113376 000215
150.814826304977 3.14753411474155 6 25.71824 25.49101 24.39098 22.6749 nan nan 000215
148.875084837536 1.48674496534967 6 23.48029 22.31794 21.30992 20.99553 nan nan 000218
148.873023447903 1.48222749778615 3 22.77424 21.67075 21.22264 20.9506 0.422746 0.11256 000218
148.877690225814 1.47556146308463 3 22.36678 21.91829 21.64818 21.45809 0.21532 0.110186 000218
148.882745944298 1.4806805453937 6 21.32121 20.94801 20.81063 21.03316 nan nan 000218
148.878994618451 1.48254856139737 3 17.94492 17.46495 17.13497 16.95626 0.082583 0.020353 000218
150.530516229934 2.71865696529884 3 23.28743 22.35832 21.61364 22.31016 0.51166 0.135927 000220
150.530945916007 2.71213047693304 6 23.48874 22.64041 22.84084 21.78748 nan nan 000220
150.532745349482 2.72207171860992 3 22.78374 21.52952 20.77817 21.41929 0.436211 0.134485 000220
150.532790334458 2.72034461819373 6 24.27944 24.09087 24.19294 23.45965 nan nan 000220
150.537390081973 2.71095676185946 3 22.4442 21.20591 20.68993 20.24368 0.410282 0.103551 000220
150.535301852685 2.71867443239442 3 19.18307 17.9228 17.43291 17.02988 0.187038 0.017816 000220
131.574949825174 44.0678957876688 6 18.41111 17.06761 16.47225 16.14516 nan nan 000236
131.570571630498 44.0802712770544 6 18.3492 17.08037 16.58414 16.31096 nan nan 000236
131.570725067492 44.0700493390648 6 22.06756 22.21493 21.81784 22.36079 nan nan 000236
131.571019296188 44.0683884527644 3 22.78161 22.71391 21.39798 20.61694 0.770714 0.121634 000236
131.574188256917 44.0657457014557 3 23.46273 22.06402 23.2168 22.10868 0.229462 0.089929 000236
131.568810787719 44.0700011956188 3 22.38326 21.39281 20.89302 20.77703 0.474787 0.097724 000236
131.581174791396 44.0728143863323 3 19.45689 18.7337 18.28721 18.02107 0.188688 0.029027 000236
131.58977961524 44.0801222952372 3 22.83036 21.94431 22.02387 21.01686 0.43838 0.108949 000236
131.588522098277 44.0722520462663 3 20.73084 19.4563 18.89169 18.53304 0.25705 0.04816 000236
34.937218620645 -3.21009149956991 3 22.15352 22.04581 21.87189 22.91703 0.482481 0.070964 000248
34.9382504522724 -3.19620734259217 6 21.77047 20.54239 19.14173 18.49329 nan nan 000248
34.9463195755729 -3.20671154438632 3 22.25424 21.39253 20.55375 22.57161 -9999.0 -9999.0 000248
34.9367591230486 -3.20425218063575 6 19.18883 18.64321 18.32834 18.19495 nan nan 000248
34.9438813494865 -3.20293986375766 3 18.79494 17.80032 17.30001 17.01143 0.176047 0.023077 000248
149.817134404576 1.61570313115664 3 22.99555 22.62639 22.0322 23.27489 0.882099 0.118219 000420
149.824242595017 1.60677154528122 3 22.87801 22.10176 21.97797 22.16411 0.568469 0.117397 000420
149.81993211544 1.61342599262618 6 23.64682 22.20555 22.24105 21.52016 nan nan 000420
149.82157233455 1.60917466381839 3 24.31872 24.56046 21.53481 20.6504 -9999.0 -9999.0 000420
150.860962790935 1.02793628156624 3 20.91967 19.79923 19.20288 18.86085 0.31764 0.093703 010010
150.864580874957 1.02520655401386 3 23.10381 22.55119 21.81301 21.84438 0.674375 0.172294 010010
150.857640771909 1.02870397914758 3 18.72932 18.20131 17.86923 17.62354 0.082709 0.02852 010010
150.855642184015 1.03235509560703 3 24.01411 24.03401 21.4228 20.54803 -9999.0 -9999.0 010010
160.673282592218 58.8365442852592 6 18.17832 17.05093 16.64002 16.4143 nan nan 010026
160.674661445708 58.8464073911998 6 22.13565 22.34888 22.12847 22.60726 nan nan 010026
160.675644567605 58.8427243855759 6 21.96885 22.0186 21.79983 21.80471 nan nan 010026
